№,АРТИКУЛ,НАИМЕНОВАНИЕ ТОВАРА,ХАРАКТЕРИСТИКИ,ЦЕНА,Категория
1,ЭС001,Зубной набор ЭкоСфера Крафт (ламинированная) JME 3 гр,индивид упак,19,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
2,ЭС002,Зубной набор ЭкоСфера Белая (ламинированная) JME 3 гр,индивид упак,19,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
3,ЭС003,Зубной набор ЭкоСфера Белая (ламинированная) AME 3 гр,мндивид упак,20,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
4,ЭС004,"Тапочки TD1 подошва ЭВА 4 мм, закрытый мыс, махровые",индивид упак,35,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
5,ЭС005,"Тапочки TD21-С подошва 4 мм, закрытый мыс 60 гр, антискользящие",индивид упак,20,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
6,ЭС006,"Тапочки TD21-E подошва 5 мм, закрытый мыс 80 гр, антискользящие",индивид упак,22,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
7,22730,Тапки Узо спанбонд белый 40 подошва 3 мм flow-pack кор.,индивид упак,18,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
8,17508,"Зубной набор: щетка АК РСТ, зубная паста тюбик Aquatique 5 мл, ЭКО Flow-pack кор.",идивид упак,17,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
9,1823,Гель для душа саше Fleur de Lis 2012 кор.,саше,3.5,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
10,1825,Шампунь саше Fleur de Lis 2012 кор.,саше,3.5,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
11,17156,"Мыло 13 г, ЭКО Flow-pack кор.",индивид упак,10,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
12,19984,"Бритвенный набор (Бритвенный станок Rapira, крем для бритья тюбик 5 мл, ЭКО Flow-pack кор.",индивид упак,27,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
13,17507,Шапочка для душа Flow-pack ЭКО кор.,индивид упак,10,РАСХОДНИКИ ДЛЯ ГОСТИНИЦ
